Fashion Week,Day,North America,"South America, Central America, and Caribbean",UK,Europe (not UK),Africa ,Middle East,Asia (not Middle East),Oceania,North America Daily Gain,"South America, Central America, and Caribbean Daily Gain",UK Daily Gain,Europe (not UK) Daily Gain,Africa  Daily Gain,Middle East Daily Gain,Asia (not Middle East) Daily Gain,Oceania Daily Gain,
1,1,0.1315837,0.0290021,0.464571,0.1815318,0.0198718,0.0257797,0.1627341,0.0107415,1.0898691,0.9905752,1.0513806,0.8797989,1.4822783,0.9451816,1.140457,0.5833234,
1,2,0.099014,0.0150673,0.3217955,0.1748889,0.0107624,0.0247535,0.1027808,0.0161436,0.8201039,0.5146293,0.7282623,0.8476037,0.8027878,0.9075585,0.7202984,0.8766846,
1,3,0.0993792,0.0209502,0.4464006,0.197684,0.0053718,0.0220246,0.1031395,0.0139668,0.8231287,0.7155599,1.0102587,0.9580811,0.4006967,0.8075057,0.7228118,0.7584736,
1,4,0.1263491,0.0290334,0.6150783,0.2462464,0.0182803,0.0333347,0.134414,0.0139791,1.0465126,0.991644,1.3919967,1.1934398,1.3635632,1.2221768,0.9419864,0.7591386,
1,5,0.1221039,0.0302558,0.6694105,0.2166534,0.0270141,0.0410615,0.1593834,0.0221516,1.0113509,1.0333962,1.514957,1.0500167,2.0150377,1.5054722,1.116975,1.2029522,
1,6,0.1211151,0.0205463,0.6255811,0.2200618,0.014058,0.0200056,0.1362545,0.0129766,1.0031607,0.7017647,1.4157659,1.0665355,1.0486139,0.7334828,0.954885,0.7047009,
1,7,0.2662223,0.030179,0.7501647,0.2328097,0.0291012,0.030179,0.1503563,0.0220954,2.2050406,1.0307731,1.6977137,1.1283188,2.1707167,1.1064796,1.0537119,1.1998987,
1,8,0.3025771,0.086064,1.6124816,0.5201728,0.0405962,0.0952658,0.2912102,0.0411375,2.5061572,2.9395376,3.6492412,2.5210317,3.0281509,3.4928095,2.0408298,2.2339898,
1,9,0.552677,0.1287425,3.4970556,1.2847316,0.0942675,0.144364,0.5607571,0.1368226,4.5776609,4.3972338,7.9142606,6.2264867,7.0315984,5.2929378,3.9298412,7.4302097,
1,10,1.2287316,0.2912709,7.0347311,2.9596357,0.23895,0.4223428,1.3862336,0.2750892,10.1772223,9.9484335,15.9204489,14.3439553,17.8237472,15.4847086,9.7148629,14.9388378,
1,11,1.889397,0.5128286,9.0056382,3.5085706,0.4066888,0.4749215,2.0713509,0.3909844,15.6493192,17.5157952,20.3808505,17.0043832,30.3357101,17.412447,14.5162331,21.2325802,
1,12,2.1359343,0.4218134,7.2250999,2.9113187,0.3353014,0.3766767,1.786662,0.4126786,17.691315,14.4071487,16.3512766,14.1097854,25.0107849,13.8104152,12.5211047,22.4106936,
1,13,2.6431936,0.26631,5.5618432,2.1385497,0.311502,0.270076,1.1701498,0.218428,21.892795,9.0958868,12.5871251,10.3645393,23.2355393,9.9020222,8.2005262,11.8618267,
1,14,1.2011081,0.2648791,4.5567813,2.0786546,0.2088884,0.2675709,1.3001686,0.2492663,9.9484252,9.0470142,10.3125484,10.0742563,15.5813916,9.8101781,9.1117106,13.5365146,
1,15,0.6557049,0.1861148,2.8632625,1.3592832,0.128559,0.1850389,0.8665632,0.1468478,5.4310105,6.3567984,6.4799101,6.587803,9.5894696,6.7842386,6.072961,7.9746326,
1,16,0.4721345,0.1248976,1.4820824,0.838752,0.0624488,0.1367413,0.4457552,0.117899,3.910551,4.2659106,3.354132,4.0650345,4.6581782,5.013463,3.1238971,6.4025588,
1,17,0.3195001,0.0692698,1.156107,0.6282606,0.0391992,0.0875269,0.3393681,0.0816202,2.6463251,2.365927,2.6164102,3.0448823,2.9239425,3.2090728,2.3783256,4.43242,
