Fashion Week,Day,North America,"South America, Central America, and Caribbean",UK,Europe (not UK),Africa ,Middle East,Asia (not Middle East),Oceania
LFW February 2017,1,0.1315837,0.0290021,0.464571,0.1815318,0.0198718,0.0257797,0.1627341,0.0107415
LFW February 2017,2,0.099014,0.0150673,0.3217955,0.1748889,0.0107624,0.0247535,0.1027808,0.0161436
LFW February 2017,3,0.0993792,0.0209502,0.4464006,0.197684,0.0053718,0.0220246,0.1031395,0.0139668
LFW February 2017,4,0.1263491,0.0290334,0.6150783,0.2462464,0.0182803,0.0333347,0.134414,0.0139791
LFW February 2017,5,0.1221039,0.0302558,0.6694105,0.2166534,0.0270141,0.0410615,0.1593834,0.0221516
LFW February 2017,6,0.1211151,0.0205463,0.6255811,0.2200618,0.014058,0.0200056,0.1362545,0.0129766
LFW February 2017,7,0.2662223,0.030179,0.7501647,0.2328097,0.0291012,0.030179,0.1503563,0.0220954
LFW February 2017,8,0.3025771,0.086064,1.6124816,0.5201728,0.0405962,0.0952658,0.2912102,0.0411375
LFW February 2017,9,0.552677,0.1287425,3.4970556,1.2847316,0.0942675,0.144364,0.5607571,0.1368226
LFW February 2017,10,1.2287316,0.2912709,7.0347311,2.9596357,0.23895,0.4223428,1.3862336,0.2750892
LFW February 2017,11,1.889397,0.5128286,9.0056382,3.5085706,0.4066888,0.4749215,2.0713509,0.3909844
LFW February 2017,12,2.1359343,0.4218134,7.2250999,2.9113187,0.3353014,0.3766767,1.786662,0.4126786
LFW February 2017,13,2.6431936,0.26631,5.5618432,2.1385497,0.311502,0.270076,1.1701498,0.218428
LFW February 2017,14,1.2011081,0.2648791,4.5567813,2.0786546,0.2088884,0.2675709,1.3001686,0.2492663
LFW February 2017,15,0.6557049,0.1861148,2.8632625,1.3592832,0.128559,0.1850389,0.8665632,0.1468478
LFW February 2017,16,0.4721345,0.1248976,1.4820824,0.838752,0.0624488,0.1367413,0.4457552,0.117899
LFW February 2017,17,0.3195001,0.0692698,1.156107,0.6282606,0.0391992,0.0875269,0.3393681,0.0816202
LFW February 2017,18,0.2966926,0.0646155,1.3736168,0.532539,0.0484616,0.0813078,0.3925389,0.0613847
LFW February 2017,19,0.3076194,0.0543174,1.1395901,0.4705716,0.0360323,0.0774426,0.4329259,0.0661489
LFW September 2017,1,0.1426776,0.03289,0.5086365,0.2251342,0.0245517,0.021309,0.1774205,0.0333532
LFW September 2017,2,0.1545376,0.0337762,0.4108665,0.2253288,0.0240598,0.0342389,0.1563884,0.029612
LFW September 2017,3,0.155337,0.029588,0.4641619,0.2408649,0.0226533,0.0337488,0.1539501,0.0406835
LFW September 2017,4,0.1761781,0.0403355,0.5813879,0.2591673,0.0227177,0.0389446,0.2192954,0.0324539
LFW September 2017,5,0.1635058,0.0346411,0.6771172,0.4212353,0.0332554,0.0411074,0.1838285,0.0346411
LFW September 2017,6,0.3184942,0.0472874,0.8075938,0.3657816,0.0315249,0.0380153,0.2313372,0.0375517
LFW September 2017,7,0.4171313,0.0513891,1.0398189,0.4041683,0.0421298,0.0578706,0.262964,0.0425928
LFW September 2017,8,0.8518848,0.1508255,3.1431289,1.5468924,0.1340671,0.1768941,0.5046137,0.1289465
LFW September 2017,9,1.6235715,0.2320714,4.4901175,2.1689393,0.2302148,0.3225792,1.0925922,0.3174737
LFW September 2017,10,3.5687091,0.353956,6.7654174,3.1536784,0.3844934,0.5575385,1.9631833,0.4261352
LFW September 2017,11,2.1057585,0.4250239,7.9016652,3.2831025,0.2507733,0.3932163,1.5894605,0.4181092
LFW September 2017,12,2.1985574,0.3523626,5.8626653,2.6111927,0.2165176,0.3361354,1.3899779,0.3903807
LFW September 2017,13,1.9734968,0.3070813,5.5553378,2.6211085,0.2206711,0.2963962,1.4113661,0.2838528
LFW September 2017,14,1.3810149,0.2440087,3.8405853,2.0146952,0.1637549,0.242617,1.1008224,0.2574616
LFW September 2017,15,0.6833223,0.1506719,2.1587088,1.1017017,0.0953794,0.1350057,0.6565977,0.1336234
LFW September 2017,16,0.5606788,0.1052722,1.5164761,0.7684407,0.0913596,0.1252136,0.5532587,0.1015622
LFW September 2017,17,0.5311365,0.0942489,1.3394483,0.7019916,0.0636064,0.1151415,0.4350305,0.0914632
LFW September 2017,18,0.5052807,0.1005004,1.7617669,0.7275856,0.0518712,0.0995741,0.4723981,0.1092999
LFW September 2017,19,0.4077175,0.0912731,1.3153523,0.5976768,0.0583777,0.1005394,0.4193004,0.0829334
LFW February 2018,1,0.2502837,0.0256937,0.3523701,0.2128903,0.0204173,0.0332641,0.1234213,0.0224819
LFW February 2018,2,0.2906994,0.0252184,0.2737343,0.2278827,0.0185699,0.0330132,0.1224239,0.0270525
LFW February 2018,3,0.2445791,0.0226717,0.3554183,0.2612966,0.0180915,0.033435,0.102595,0.0226717
LFW February 2018,4,0.2241066,0.0286728,0.4170171,0.2786996,0.0183506,0.038995,0.1220314,0.0284434
LFW February 2018,5,0.2050503,0.0231656,0.3823478,0.2188121,0.0155967,0.0357806,0.1089473,0.0224776
LFW February 2018,6,0.1813027,0.0252128,0.4105095,0.2078907,0.0178781,0.0341518,0.1152911,0.0213162
LFW February 2018,7,0.4262955,0.0660747,1.2727347,0.5892037,0.0528597,0.0788339,0.2032365,0.0578723
LFW February 2018,8,0.3977226,0.0644894,1.1548413,0.4651954,0.0406214,0.0640304,0.1861241,0.0702268
LFW February 2018,9,0.6325047,0.0935185,2.01886,0.897778,0.0561111,0.1078885,0.3015403,0.0789205
LFW February 2018,10,1.2615632,0.1688526,2.8606015,1.446979,0.212791,0.2762833,0.9604352,0.1631014
LFW February 2018,11,0.4699179,0.1106898,2.3733253,0.9535295,0.0620776,0.1150261,0.3873,0.0892365
LFW February 2018,12,0.9895666,0.2095174,3.4869676,1.5815108,0.103147,0.160016,0.4128183,0.1639301
LFW February 2018,13,1.0423774,0.1756713,3.1266752,1.54906,0.1069105,0.1674474,0.5982876,0.3470022
LFW February 2018,14,0.6638105,0.1230801,1.8651544,0.9490183,0.0860876,0.1258203,0.4902652,0.1758287
LFW February 2018,15,0.3571046,0.0628705,1.1021775,0.5237686,0.0969349,0.0717867,0.2624559,0.0690433
LFW February 2018,16,0.2569524,0.0421759,0.6793995,0.4013591,0.0398838,0.0547829,0.1684746,0.050657
LFW February 2018,17,0.2975217,0.0419464,0.6729766,0.4343633,0.0293396,0.0607421,0.1483024,0.0543241
LFW February 2018,18,0.3113282,0.0511615,0.8392324,0.4051625,0.0367078,0.0543735,0.2119876,0.0461142
LFW February 2018,19,0.2675903,0.0424564,0.6949087,0.3708628,0.0293753,0.0520952,0.1978241,0.0502592
