Fashion Week Daily Gain,Day Daily Gain,North America Daily Gain,"South America, Central America, and Caribbean Daily Gain",UK Daily Gain,Europe (not UK) Daily Gain,Africa  Daily Gain,Middle East Daily Gain,Asia (not Middle East) Daily Gain,Oceania Daily Gain
LFW February 2017,1,1.0898691,0.9905752,1.0513806,0.8797989,1.4822783,0.9451816,1.140457,0.5833234
LFW February 2017,2,0.8201039,0.5146293,0.7282623,0.8476037,0.8027878,0.9075585,0.7202984,0.8766846
LFW February 2017,3,0.8231287,0.7155599,1.0102587,0.9580811,0.4006967,0.8075057,0.7228118,0.7584736
LFW February 2017,4,1.0465126,0.991644,1.3919967,1.1934398,1.3635632,1.2221768,0.9419864,0.7591386
LFW February 2017,5,1.0113509,1.0333962,1.514957,1.0500167,2.0150377,1.5054722,1.116975,1.2029522
LFW February 2017,6,1.0031607,0.7017647,1.4157659,1.0665355,1.0486139,0.7334828,0.954885,0.7047009
LFW February 2017,7,2.2050406,1.0307731,1.6977137,1.1283188,2.1707167,1.1064796,1.0537119,1.1998987
LFW February 2017,8,2.5061572,2.9395376,3.6492412,2.5210317,3.0281509,3.4928095,2.0408298,2.2339898
LFW February 2017,9,4.5776609,4.3972338,7.9142606,6.2264867,7.0315984,5.2929378,3.9298412,7.4302097
LFW February 2017,10,10.1772223,9.9484335,15.9204489,14.3439553,17.8237472,15.4847086,9.7148629,14.9388378
LFW February 2017,11,15.6493192,17.5157952,20.3808505,17.0043832,30.3357101,17.412447,14.5162331,21.2325802
LFW February 2017,12,17.691315,14.4071487,16.3512766,14.1097854,25.0107849,13.8104152,12.5211047,22.4106936
LFW February 2017,13,21.892795,9.0958868,12.5871251,10.3645393,23.2355393,9.9020222,8.2005262,11.8618267
LFW February 2017,14,9.9484252,9.0470142,10.3125484,10.0742563,15.5813916,9.8101781,9.1117106,13.5365146
LFW February 2017,15,5.4310105,6.3567984,6.4799101,6.587803,9.5894696,6.7842386,6.072961,7.9746326
LFW February 2017,16,3.910551,4.2659106,3.354132,4.0650345,4.6581782,5.013463,3.1238971,6.4025588
LFW February 2017,17,2.6463251,2.365927,2.6164102,3.0448823,2.9239425,3.2090728,2.3783256,4.43242
LFW February 2017,18,2.4574176,2.2069577,3.1086612,2.5809648,3.6148445,2.9810554,2.7509513,3.3335219
LFW February 2017,19,2.5479211,1.8552255,2.5790305,2.2806383,2.6877229,2.839345,3.0339878,3.5922466
LFW September 2017,1,1.1368451,1.0788907,1.3317874,1.0023232,1.137861,0.7954134,1.1495547,0.9591421
LFW September 2017,2,1.2313449,1.1079614,1.0757917,1.0031899,1.1150629,1.2780547,1.0132818,0.8515558
LFW September 2017,3,1.2377144,0.9705763,1.2153374,1.0723581,1.0498808,1.259762,0.9974834,1.1699404
LFW September 2017,4,1.4037749,1.3231274,1.522276,1.1538428,1.0528651,1.4537095,1.4208731,0.9332797
LFW September 2017,5,1.3028025,1.1363317,1.7729287,1.8753879,1.5412411,1.5344396,1.1910738,0.9961769
LFW September 2017,6,2.5377393,1.5511685,2.1145619,1.6285017,1.4610394,1.4190203,1.4988946,1.0798792
LFW September 2017,7,3.3236721,1.6857179,2.722608,1.7994036,1.9525292,2.1601697,1.7038133,1.2248449
LFW September 2017,8,6.7877569,4.9475334,8.2298063,6.886943,6.2134161,6.6030299,3.2695257,3.7081292
LFW September 2017,9,12.9365018,7.6126452,11.7566915,9.6563676,10.6694366,12.0411047,7.0791938,9.1296273
LFW September 2017,10,28.4352189,11.6108287,17.7142192,14.0405393,17.8195622,20.8115665,12.7199841,12.2544203
