Fashion Week,Topic,Day,Mentions,Impressions,Engagements
1,Sustainability,1,105,167850,15
1,Sustainability,2,105,628256,47
1,Sustainability,3,62,228210,20
1,Sustainability,4,81,534252,17
1,Sustainability,5,144,589221,233
1,Sustainability,6,1237,1141820,372
1,Sustainability,7,553,365237,320
1,Sustainability,8,424,862781,316
1,Sustainability,9,540,1271319,194
1,Sustainability,10,274,777003,147
1,Sustainability,11,510,1169887,502
1,Sustainability,12,339,861390,152
1,Sustainability,13,314,3100223,73
1,Sustainability,14,168,914505,101
1,Sustainability,15,173,199146,53
1,Sustainability,16,168,472437,82
1,Sustainability,17,67,410647,27
1,Sustainability,18,101,425577,12
1,Sustainability,19,65,103295,21
1,Luxury,1,87,512549,12
1,Luxury,2,63,516641,58
1,Luxury,3,42,1200473,6
1,Luxury,4,83,264188,7
1,Luxury,5,75,320928,6
1,Luxury,6,86,474201,22
1,Luxury,7,164,1011749,68
1,Luxury,8,240,1567186,93
1,Luxury,9,205,1681121,125
1,Luxury,10,165,1471755,87
1,Luxury,11,408,1139610,124
1,Luxury,12,418,2408364,78
1,Luxury,13,243,1033759,20
1,Luxury,14,161,905199,15
1,Luxury,15,90,364900,7
1,Luxury,16,62,450198,8
1,Luxury,17,51,411816,2
1,Luxury,18,114,630058,2
1,Luxury,19,132,307905,2
1,Streetwear,1,69,401149,7
1,Streetwear,2,42,162855,1
1,Streetwear,3,58,552866,4
1,Streetwear,4,69,282733,7
1,Streetwear,5,46,51335,2
1,Streetwear,6,51,335286,9
1,Streetwear,7,92,258169,8
1,Streetwear,8,324,635035,29
1,Streetwear,9,373,5488039,184
1,Streetwear,10,565,9433416,356
1,Streetwear,11,790,10223464,376
1,Streetwear,12,813,7802231,282
1,Streetwear,13,757,6749249,236
1,Streetwear,14,352,2155492,81
1,Streetwear,15,162,1896344,176
1,Streetwear,16,107,3229381,64
1,Streetwear,17,119,1334263,27
1,Streetwear,18,151,884461,15
1,Streetwear,19,114,66318,24
1,British,1,49,174384,0
1,British,2,39,230888,3
1,British,3,47,853148,1
1,British,4,126,685275,1
